iqr_x,duration_x,median_x,mad_x,max_x,mean_x,min_x,rms_x,std_x,iqr_y,duration_y,median_y,mad_y,max_y,mean_y,min_y,rms_y,std_y,iqr_z,duration_z,median_z,mad_z,max_z,mean_z,min_z,rms_z,std_z,iqr_m,duration_m,median_m,mad_m,max_m,mean_m,min_m,rms_m,std_m
1.7750012390315533,302.0,-1.1516109704971313,0.8882487714290619,4.6471452713012695,-1.2963095898308254,-9.24640655517578,2.245617036454292,1.8336786309837376,2.2487542629241926,302.0,9.712677478790283,1.1228809356689453,27.30706787109375,9.626395315523968,2.4863784313201904,10.127196466745334,3.1452538061843835,3.0157963633537292,302.0,0.1430535465478897,1.2802993655204773,7.923610687255857,-0.454834904802334,-9.366117477416992,2.702775927764965,2.664230268779187,2.146556978305398,302.0,9.944291257365151,1.1385775181227666,28.80091097831479,10.287299751324074,3.2290337620010634,10.719510337052654,3.0131985816713667
2.5899277850985527,302.0,-1.0654197931289673,1.313219666481018,6.817489147186277,-0.9480999069649183,-10.72841739654541,2.5684037289809782,2.3870073903229767,2.878429412841795,302.0,9.35893440246582,1.4293384552001953,17.304092407226562,9.533072969376645,1.5921441316604614,9.858430930401287,2.5118081475369722,4.58639258146286,302.0,-1.6166846752166748,2.2493525743484497,10.96424674987793,-1.4352010340115289,-10.81820011138916,3.4347124150856794,3.120488321772081,2.4530898303252915,302.0,9.883598662704747,1.0861742482706225,20.61088904424396,10.481479847538985,3.6060464432932813,10.750935191827725,2.391900437834738
3.012204945087433,302.0,-0.8720879554748535,1.5777789056301117,10.466252326965332,-0.9496101542701328,-12.633005142211914,3.2938739916307234,3.1540206764776237,6.843226909637453,302.0,9.14046335220337,3.476380586624146,29.64979362487793,9.32771864617305,-0.5183446407318115,10.539645129491856,4.906911891756053,5.319616824388504,302.0,-0.6512228548526764,2.66714072227478,18.230648040771484,-0.8238432343697657,-17.907432556152344,4.8552687112522595,4.784863277424794,7.049759003151371,302.0,10.048117596385747,3.496070014837909,30.53640174071331,10.906342929709542,1.63834436645946,12.062643142646136,5.153546690038089
3.3895909786224365,302.0,-0.9810241460800171,1.7250223159790041,6.777985095977782,-1.1836711222865612,-12.820950508117676,3.028855824547173,2.7879903658653853,7.440580487251279,302.0,9.670180320739746,3.6750998497009277,26.09320640563965,9.735061958629563,-0.2190694510936737,10.964124191166217,5.043866368269462,4.393060863018036,302.0,-0.3513491004705429,2.1799206137657166,17.064672470092773,-0.46665527679593555,-16.09382438659668,4.590127219214218,4.566344352018336,6.571498825993819,302.0,10.657654023438962,3.144152672506433,29.60792510610137,11.0837673572081,1.8530385783962087,12.26602033154115,5.254079933258439
2.837727665901184,302.0,-0.9319429993629456,1.4245499968528748,4.933252811431885,-1.1157653788235717,-16.171634674072266,2.8191013686239788,2.588899408242097,7.12155282497406,302.0,9.525929927825928,3.3889927864074716,30.4123477935791,9.591465356235473,-3.3578679561614986,10.911995933286866,5.203407303700509,4.564246207475662,302.0,-0.4118026793003082,2.2313959896564484,18.889055252075195,-0.7360029671293381,-17.484855651855472,4.540297770500514,4.4802459170439235,5.444444980740529,302.0,10.357744144389915,2.816302065255848,33.34378004675833,10.9548570421479,2.3092985015591,12.150444091450261,5.255891818289373
2.9966427087783813,302.0,-0.8948329091072083,1.4730326235294342,6.575675010681152,-1.1251281329757528,-12.970587730407717,2.921842094543225,2.696525154681713,7.236175298690798,302.0,9.729437351226807,3.511096715927124,30.192081451416016,9.69557745665904,0.1915361285209656,11.020934575907575,5.239921441048534,3.7804445028305054,302.0,0.035314474254846503,1.8950106762349606,36.5223503112793,-0.15892108447004777,-16.782155990600586,4.7780842347013985,4.775440612426555,6.38158436905203,302.0,10.564653660383328,2.977489360644551,39.220368720588446,11.012496845912288,0.887388504562048,12.36237230897783,5.617220159879246
2.9774890542030334,302.0,-0.6847416758537292,1.400009393692017,3.886986494064331,-1.0779060716509499,-9.19972038269043,2.6686676193746344,2.4412917407382295,7.293635964393616,302.0,9.552266120910645,3.5188779830932626,33.309329986572266,9.79713282216069,-0.1903390288352966,11.396657002136735,5.82236887265776,4.43346294760704,302.0,-0.2489969730377197,2.185906171798706,15.44020652770996,-0.6081430823148987,-17.603368759155273,4.475269620427961,4.433756890827231,5.946019088950708,302.0,10.379715168935565,2.9208492048318706,37.67641494927316,11.13890616240804,1.17749762214925,12.531305433296898,5.74093941508222
2.356792382895947,302.0,-1.2958617210388184,1.170764684677124,7.376535415649414,-1.1553251994665812,-12.609063148498535,2.888866621717991,2.6477866306698172,3.635595202445983,302.0,9.480440139770508,1.8112137317657475,26.518178939819336,9.491225981357081,-2.4408886432647705,10.09948151510111,3.451978598525967,3.693654716014862,302.0,0.10654197633266445,1.648407831788063,8.627506256103517,-0.4380596374070568,-9.101557731628418,3.2349478753619305,3.2051507781044353,3.740132053052738,302.0,9.968812888537562,1.8655186779725694,29.086682630153003,10.424499773802053,0.8481246316955627,10.9913586506971,3.4842171938980675
1.9393034800887112,302.0,-1.292868971824646,0.993593767285347,4.236539840698241,-1.225926404396405,-7.447164535522461,2.2150313308422866,1.8448491124253636,3.1280242204666138,302.0,9.556456089019775,1.5634136199951172,21.757307052612305,9.613893142105727,-0.1556231081485748,10.084126014033165,3.043461207091828,3.268085226416588,302.0,-0.12928689271211619,1.4999673292040825,6.958747386932372,-0.7110224097746652,-12.409147262573242,2.9987888950574035,2.9132768440225227,2.6314253534705756,302.0,9.931630231764572,1.3748166529664578,22.996323649541864,10.292120482241582,1.4179850827076605,10.751218354243994,3.1082072131143716
3.597288101911545,302.0,0.05865794047713275,1.740584671497345,6.270414352416992,-0.4978235017813569,-11.87763500213623,3.0359297539662933,2.9948357604536495,5.908590793609619,302.0,9.032724380493164,3.05141019821167,30.09631156921387,9.314530730253665,-3.5972881317138667,11.008527940312764,5.867470041492066,3.8860885836184025,302.0,-1.3832499980926514,2.147000312805176,12.449849128723145,-1.8840306186061722,-21.53943634033203,4.533573775466806,4.1235566936511,5.710724625267807,302.0,9.603248537412757,2.43130604164169,30.49563606814354,11.060032587624487,1.2541098207204147,12.286490469668909,5.351030482248192
